category,document_id,question,answers,context
2,603492,제178회 임시회 제2차 본회의는 언제야?,"{'answer_start': 236, 'text': '4월 27일 오전 10시'}","@제178회        완주군의회(임시회) 제 1 차 본회의회의록@

다음은 의사일정 제3항 본회의 휴회의 건을 상정합니다. 의정활동 자료수집 및 상임위원회 의정활동을 위하여 4월 21일부터 4월 26일까지 6일간 본회의를 휴회하고자 하는데 의원 여러분 이의 있으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다. 이상으로 제178회 임시회 제1차 본회의를 마치겠습니다. 제2차 본회의는 4월 27일 오전 10시에 개의하겠습니다. 이상으로 제1차 본회의 산회를 선포합니다.
"
7,603497,송현중 의원님과 박종관 의원님이 회의록 서명의원으로 선출된 회의는?,"{'answer_start': 46, 'text': '제194회 완주군의회 임시회'}","@제194회 완주군의회(임시회) 제 1 차 본회의회의록@

다음은 의사일정 제2항 제194회 완주군의회 임시회 회의록 서명의원 선출의 건을 상정합니다. 제194회 임시회 회의록 서명의원은 송현중 의원님과 박종관 의원님을 선출하고자 하는데 의원 여러분 이의 있으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.

그럼 두 분 의원님께서는 본 회기동안 수고하여 주시기 바랍니다.
"
1,603504,제238회 완주군의회 본회의 휴회 기간은?,"{'answer_start': 86, 'text': '2월 14일부터 2월 21일까지 8일간'}","@제238회 완주군의회(임시회) 제1차 본 회 의 회 의 록@

다음은 의사일정 제3항 본회의 휴회의 건을 상정합니다.

상임위원회 등 의정활동을 위하여 2월 14일부터 2월 21일까지 8일간 본회의를 휴회하고자 하는데 의원 여러분 이의 있습니까?

(“없습니다” 하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.

이상으로 제238회 완주군의회 임시회 제1차 본회의를 마치겠습니다. 다음 제2차 본회의는 2월 22일 오전 10시에 개의하겠습니다. 의원 여러분 수고 많이 하셨습니다. 산회를 선포합니다.
"
2,603504,제238회 완주군의회 임시회 제2차 본회의 날짜는?,"{'answer_start': 233, 'text': '2월 22일 오전 10시'}","@제238회 완주군의회(임시회) 제1차 본 회 의 회 의 록@

다음은 의사일정 제3항 본회의 휴회의 건을 상정합니다.

상임위원회 등 의정활동을 위하여 2월 14일부터 2월 21일까지 8일간 본회의를 휴회하고자 하는데 의원 여러분 이의 있습니까?

(“없습니다” 하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.

이상으로 제238회 완주군의회 임시회 제1차 본회의를 마치겠습니다. 다음 제2차 본회의는 2월 22일 오전 10시에 개의하겠습니다. 의원 여러분 수고 많이 하셨습니다. 산회를 선포합니다.
"
4,603506,제211회 완주군의회 임시회 제1차 본회의 서명의원은 누구야?,"{'answer_start': 96, 'text': '최등원 의원님과 윤수봉 의원님'}","@제211회 완주군의회(임시회) 제 1 차 본회의회의록@

다음은 의사일정 제2항 제211회 완주군의회 임시회 회의록 서명의원 선출의 건을 상정합니다. 회의록 서명의원으로 최등원 의원님과 윤수봉 의원님을 선출하고자 하는데 의원 여러분 이의 있으십니까?

(『없습니다.』하는 의원 있음 )

이의가 없으므로 가결되었음을 선포합니다. 그러면 두 분 의원님께서는 본 회기동안 수고하여 주시기 바랍니다.
"
7,603506,최등원 의원이 서명의원으로 선출된 회의는?,"{'answer_start': 46, 'text': '제211회 완주군의회 임시회'}","@제211회 완주군의회(임시회) 제 1 차 본회의회의록@

다음은 의사일정 제2항 제211회 완주군의회 임시회 회의록 서명의원 선출의 건을 상정합니다. 회의록 서명의원으로 최등원 의원님과 윤수봉 의원님을 선출하고자 하는데 의원 여러분 이의 있으십니까?

(『없습니다.』하는 의원 있음 )

이의가 없으므로 가결되었음을 선포합니다. 그러면 두 분 의원님께서는 본 회기동안 수고하여 주시기 바랍니다.
"
1,603512,제199회 완주군의회 휴회는 언제야?,"{'answer_start': 81, 'text': '8월 26일부터 9월 3일까지 9일간'}","@제199회 완주군의회(임시회) 제 1 차 본회의회의록@

다음은 의사일정 제4항 본회의 휴회의 건을 상정합니다.

상임위원회 의정활동을 위하여 8월 26일부터 9월 3일까지 9일간 본회의를 휴회하고자 하는데 의원 여러분 이의 있으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.

이상으로 제199회 임시회 제1차 본회의를 마치겠습니다. 제2차 본회의는 9월 4일 오전 10시에 개의하겠습니다. 이상으로 제1차 본회의 산회를 선포합니다.
"
2,603512,제199회 완주군의회 제2차 본회의는 언제야?,"{'answer_start': 218, 'text': '9월 4일 오전 10시'}","@제199회 완주군의회(임시회) 제 1 차 본회의회의록@

다음은 의사일정 제4항 본회의 휴회의 건을 상정합니다.

상임위원회 의정활동을 위하여 8월 26일부터 9월 3일까지 9일간 본회의를 휴회하고자 하는데 의원 여러분 이의 있으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.

이상으로 제199회 임시회 제1차 본회의를 마치겠습니다. 제2차 본회의는 9월 4일 오전 10시에 개의하겠습니다. 이상으로 제1차 본회의 산회를 선포합니다.
"
2,603519,제213회 완주군의회 정례회의 제2차 본회의 날짜는?,"{'answer_start': 237, 'text': '6월 24일 오전 10시'}","@제213회    완주군의회(정례회) 제1차 본회의회의록@

다음은 의사일정 제3항 본회의 휴회의 건을 상정합니다. 상임위원회 등 의정활동을 위하여 6월 11일부터 6월 23일까지 13일간 본회의를 휴회하고자 합니다. 의원 여러분 이의 있으십니까?

(『없습니다.』하는 의원 있음 )

이의가 없으므로 가결되었음을 선포합니다. 이상으로 제213회 완주군의회 제1차 정례회 제1차 본회의를 마치겠습니다. 다음 제2차 본회의는 6월 24일 오전 10시에 개의하겠습니다. 의원 여러분 수고 많으셨습니다. 산회를 선포합니다.
"
1,603519,제213회 완주군의회 제1차 정례회 제1차 본회의 휴회 기간은?,"{'answer_start': 83, 'text': '6월 11일부터 6월 23일까지 13일간'}","@제213회    완주군의회(정례회) 제1차 본회의회의록@

다음은 의사일정 제3항 본회의 휴회의 건을 상정합니다. 상임위원회 등 의정활동을 위하여 6월 11일부터 6월 23일까지 13일간 본회의를 휴회하고자 합니다. 의원 여러분 이의 있으십니까?

(『없습니다.』하는 의원 있음 )

이의가 없으므로 가결되었음을 선포합니다. 이상으로 제213회 완주군의회 제1차 정례회 제1차 본회의를 마치겠습니다. 다음 제2차 본회의는 6월 24일 오전 10시에 개의하겠습니다. 의원 여러분 수고 많으셨습니다. 산회를 선포합니다.
"
4,603481,제210회 완주군의회에서 의회 관련사항에 대한 보고를 한 사람은?,"{'answer_start': 154, 'text': '의사팀장 이은미'}","@제210회 완주군의회(임시회) 제 1 차 본회의회의록@

의석을 정돈하여 주시기 바랍니다. 성원이 되었으므로 제210회 완주군의회 임시회 제1차 본회의 개의를 선포합니다. 먼저 의사팀장으로부터 의회 관련사항에 대한 보고가 있겠습니다. 의사팀장은 보고하여 주시기 바랍니다.

의사팀장 이은미입니다. 의회 관련사항을 보고드리겠습니다. 먼저 제210회 완주군의회 임시회 소집 경위를 보고드리겠습니다. 지방자치법 제45조제2항의 규정에 의거 서남용 의원님 외 다섯 분의 의원님으로부터 2016년도 주요업무보고 청취 및 일반 안건심의를 위한 임시회 집회요구가 있어 지난 2월 4일 집회공고를 하고 오늘 집회를 갖게 되었습니다. 다음은 의안접수 및 회부사항입니다. 먼저 의원 발의 안건입니다. 지난 2월 4일 서남용 의원님 외 네 분의 의원님으로부터 완주군의회 회기와 그 운영에 관한 조례 일부개정 조례안, 완주군의회에 출석·답변할 수 있는 관계 공무원의 범위에 관한 조례 일부개정 조례안, 완주군의회 회의규칙 일부개정 규칙안 등 총 3건이 발의되어 해당 상임위원회로 회부하였습니다. 다음은 완주군수로부터 제출된 안건입니다. 완주군 소송사건 수행 증인 등의 실비변상 조례 일부개정 조례안 등 조례안 20건, 완주군 창업보육센터 민간위탁 동의안, 『제6기 지역보건의료계획』 2015년도 시행결과 및 2016년 시행계획 보고 등 총 22건으로 해당 상임위원회로 회부하였습니다. 끝으로 완주군수로부터 지난 2월 2일 2015년도 행정사무감사 결과 시정 및 처리 요구사항에 대한 처리결과보고서가 제출되어 의원님들께 배부해드렸습니다. 기타 자세한 내용은 배부해드린 유인물과 모니터 화면을 참조하여 주시기 바랍니다. 이상으로 보고를 마치겠습니다.
"
6,603481,제210회 완주군의회에서 완주군수가 제출한 안건의 개수는?,"{'answer_start': 610, 'text': '20건'}","@제210회 완주군의회(임시회) 제 1 차 본회의회의록@

의석을 정돈하여 주시기 바랍니다. 성원이 되었으므로 제210회 완주군의회 임시회 제1차 본회의 개의를 선포합니다. 먼저 의사팀장으로부터 의회 관련사항에 대한 보고가 있겠습니다. 의사팀장은 보고하여 주시기 바랍니다.

의사팀장 이은미입니다. 의회 관련사항을 보고드리겠습니다. 먼저 제210회 완주군의회 임시회 소집 경위를 보고드리겠습니다. 지방자치법 제45조제2항의 규정에 의거 서남용 의원님 외 다섯 분의 의원님으로부터 2016년도 주요업무보고 청취 및 일반 안건심의를 위한 임시회 집회요구가 있어 지난 2월 4일 집회공고를 하고 오늘 집회를 갖게 되었습니다. 다음은 의안접수 및 회부사항입니다. 먼저 의원 발의 안건입니다. 지난 2월 4일 서남용 의원님 외 네 분의 의원님으로부터 완주군의회 회기와 그 운영에 관한 조례 일부개정 조례안, 완주군의회에 출석·답변할 수 있는 관계 공무원의 범위에 관한 조례 일부개정 조례안, 완주군의회 회의규칙 일부개정 규칙안 등 총 3건이 발의되어 해당 상임위원회로 회부하였습니다. 다음은 완주군수로부터 제출된 안건입니다. 완주군 소송사건 수행 증인 등의 실비변상 조례 일부개정 조례안 등 조례안 20건, 완주군 창업보육센터 민간위탁 동의안, 『제6기 지역보건의료계획』 2015년도 시행결과 및 2016년 시행계획 보고 등 총 22건으로 해당 상임위원회로 회부하였습니다. 끝으로 완주군수로부터 지난 2월 2일 2015년도 행정사무감사 결과 시정 및 처리 요구사항에 대한 처리결과보고서가 제출되어 의원님들께 배부해드렸습니다. 기타 자세한 내용은 배부해드린 유인물과 모니터 화면을 참조하여 주시기 바랍니다. 이상으로 보고를 마치겠습니다.
"
